event_name,radius_name,radius_km,f_klein_hz,f_gw_hz,snr_original,snr_klein,resonance_factor,improvement_ratio,ligo_optimal_range,ligo_marginal_range,mass_1,mass_2,distance_mpc,gps_time
GW230708_230935,Klein_Empirical_8400km,8400.0,5.680172808615407,42.26798206111768,10.0,12.00433728668731,1.200433728668731,1.200433728668731,False,False,65.0,39.0,3400.0,1372892993.5
GW230708_071859,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.1,9.1,1.0,1.0,False,False,,,,1372835957.4
GW230708_053705,Klein_Empirical_8400km,8400.0,5.680172808615407,84.21207153939154,8.9,10.680838051472017,1.2000941630867434,1.2000941630867434,False,False,29.1,23.1,3200.0,1372829843.1
GW230707_124047,Klein_Empirical_8400km,8400.0,5.680172808615407,53.15441516754823,11.9,14.283065944658052,1.2002576424082396,1.2002576424082396,False,False,45.9,36.8,4400.0,1372768865.3
GW230706_104333,Klein_Empirical_8400km,8400.0,5.680172808615407,158.12482497684312,9.2,11.04022990743308,1.2000249899383784,1.2000249899383784,False,False,16.3,11.5,1900.0,1372675431.2
GW230704_212616,Klein_Empirical_8400km,8400.0,5.680172808615407,31.399072388258844,8.7,10.447634811227983,1.2008775645089638,1.2008775645089638,False,False,92.0,48.0,7100.0,1372541194.7
GW230704_021211,Klein_Empirical_8400km,8400.0,5.680172808615407,82.62913786383906,9.4,11.280921922099267,1.200098076819071,1.200098076819071,False,False,33.3,19.9,2600.0,1372471949.2
GW230702_185453,Klein_Empirical_8400km,8400.0,5.680172808615407,74.38020531905649,10.1,12.121242720329326,1.200123041616765,1.200123041616765,False,False,41.0,18.1,2300.0,1372359311.7
GW230702_162025,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.2,9.2,1.0,1.0,False,False,,,,1372350043.9
GW230630_234532,Klein_Empirical_8400km,8400.0,5.680172808615407,263.22575654827773,9.9,11.88008668031278,1.2000087555871495,1.2000087555871495,False,False,10.0,6.7,1070.0,1372203950.4
GW230630_125806,Klein_Empirical_8400km,8400.0,5.680172808615407,51.1147690041423,9.0,10.802531610527215,1.2002812900585793,1.2002812900585793,False,False,53.0,33.0,5000.0,1372165104.9
GW230630_070659,Klein_Empirical_8400km,8400.0,5.680172808615407,,9.8,9.8,1.0,1.0,False,False,,,,1372144037.0
GW230628_231200,Klein_Empirical_8400km,8400.0,5.680172808615407,73.75621030799059,16.4,19.682055041885032,1.2001253074320142,1.2001253074320142,False,False,32.4,27.2,2250.0,1372029138.4
GW230627_015337,Klein_Empirical_8400km,8400.0,5.680172808615407,310.0049460053765,28.7,34.44017997052014,1.2000062707498307,1.2000062707498307,False,False,8.4,5.78,305.0,1371866035.8
GW230625_211655,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.1,8.1,1.0,1.0,False,False,,,,1371763033.0
GW230624_214944,Klein_Empirical_8400km,8400.0,5.680172808615407,,10.6,10.6,1.0,1.0,False,False,,,,1371678602.5
GW230624_113103,Klein_Empirical_8400km,8400.0,5.680172808615407,99.45407543792395,11.4,13.680752870946383,1.2000660413110862,1.2000660413110862,False,False,28.0,16.2,1810.0,1371641481.7
GW230618_102550,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.8,7.8,1.0,1.0,False,False,,,,1371119168.0
GW230615_160825,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.9,8.9,1.0,1.0,False,False,,,,1370880524.0
GW230609_064958,Klein_Empirical_8400km,8400.0,5.680172808615407,73.02109857734615,10.6,12.721357414249923,1.200128057948106,1.200128057948106,False,False,35.2,25.0,3300.0,1370328616.3
GW230609_010824,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.0,8.0,1.0,1.0,False,False,,,,1370308122.4
GW230608_205047,Klein_Empirical_8400km,8400.0,5.680172808615407,55.50341078732624,10.2,12.242386027434963,1.2002339242583298,1.2002339242583298,False,False,49.0,30.2,3400.0,1370292665.2
GW230606_024545,Klein_Empirical_8400km,8400.0,5.680172808615407,,7.5,7.5,1.0,1.0,False,False,,,,1370054763.5
GW230606_004305,Klein_Empirical_8400km,8400.0,5.680172808615407,69.77571641835299,11.1,13.321569021172785,1.2001413532588094,1.2001413532588094,False,False,37.3,25.7,2700.0,1370047403.8
GW230605_065343,Klein_Empirical_8400km,8400.0,5.680172808615407,154.24105734583293,11.4,13.680299975061823,1.2000263136019143,1.2000263136019143,False,False,17.5,11.0,1040.0,1369983241.5
GW230603_174756,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.0,8.0,1.0,1.0,False,False,,,,1369849694.9
GW230601_224134,Klein_Empirical_8400km,8400.0,5.680172808615407,39.96245576687489,13.4,16.086619752028344,1.2004940113453988,1.2004940113453988,False,False,66.0,44.0,3400.0,1369694512.1
GW230531_141100,Klein_Empirical_8400km,8400.0,5.680172808615407,,8.0,8.0,1.0,1.0,False,False,,,,1369577478.3
GW230529_181500,Klein_Empirical_8400km,8400.0,5.680172808615407,,11.8,11.8,1.0,1.0,False,False,,,,1369419318.7
GW230518_125908,Klein_Empirical_8400km,8400.0,5.680172808615407,,14.1,14.1,1.0,1.0,False,False,,,,1368449966.2
GW200322_091133,Klein_Empirical_8400km,8400.0,5.680172808615407,89.16572280641458,4.5,5.400374943118336,1.2000833206929635,1.2000833206929635,False,False,38.0,11.3,3500.0,1268903511.3
GW200316_215756,Klein_Empirical_8400km,8400.0,5.680172808615407,210.32871456249947,10.3,12.360142827611101,1.2000138667583593,1.2000138667583593,False,False,13.1,7.8,1120.0,1268431094.1
GW200311_115853,Klein_Empirical_8400km,8400.0,5.680172808615407,71.01567260672435,17.8,21.362421499284117,1.2001360392856246,1.2001360392856246,False,False,34.2,27.7,1170.0,1267963151.3
GW200308_173609,Klein_Empirical_8400km,8400.0,5.680172808615407,52.33178731376474,4.7,5.6412539947689995,1.2002668073976595,1.2002668073976595,False,False,60.0,24.0,7100.0,1267724187.7
GW200306_093714,Klein_Empirical_8400km,8400.0,5.680172808615407,101.99234650478512,7.8,9.360488329240303,1.2000626063128594,1.2000626063128594,False,False,28.3,14.8,2100.0,1267522652.1
GW200302_015811,Klein_Empirical_8400km,8400.0,5.680172808615407,76.05311651135361,10.8,12.961266425447102,1.2001172616154723,1.2001172616154723,False,False,37.8,20.0,1480.0,1267149509.5
GW200225_060421,Klein_Empirical_8400km,8400.0,5.680172808615407,132.00811214283002,12.5,15.000454881224037,1.200036390497923,1.200036390497923,False,False,19.3,14.0,1150.0,1266645879.3
GW200224_222234,Klein_Empirical_8400km,8400.0,5.680172808615407,60.4658890557942,20.0,24.003869405353182,1.200193470267659,1.200193470267659,False,False,40.0,32.7,1710.0,1266618172.4
GW200220_124850,Klein_Empirical_8400km,8400.0,5.680172808615407,65.80643913706943,8.5,10.201365360383784,1.2001606306333863,1.2001606306333863,False,False,38.9,27.9,4000.0,1266238148.1
GW200220_061928,Klein_Empirical_8400km,8400.0,5.680172808615407,29.701825232136745,7.2,8.647242351171291,1.2010058821071237,1.201005882107124,False,False,87.0,61.0,6000.0,1266214786.7
GW200219_094415,Klein_Empirical_8400km,8400.0,5.680172808615407,67.21513966905563,10.7,12.841640961659495,1.2001533609027566,1.2001533609027566,False,False,37.5,27.9,3400.0,1266140673.1
GW200216_220804,Klein_Empirical_8400km,8400.0,5.680172808615407,54.27000165871899,8.1,9.721992188996131,1.2002459492587816,1.2002459492587816,False,False,51.0,30.0,3800.0,1265926102.8
GW200210_092254,Klein_Empirical_8400km,8400.0,5.680172808615407,163.23320216696018,8.4,10.080196524059849,1.2000233957214106,1.2000233957214106,False,False,24.1,2.83,940.0,1265361792.9
GW200209_085452,Klein_Empirical_8400km,8400.0,5.680172808615407,70.10957152083314,9.6,11.521342965712511,1.20013989226172,1.20013989226172,False,False,35.6,27.1,3400.0,1265273710.1
GW200208_222617,Klein_Empirical_8400km,8400.0,5.680172808615407,69.44502581921388,7.4,8.881056890842851,1.2001428230868718,1.2001428230868718,False,False,51.0,12.3,4100.0,1265235995.9
