event_id,detection_category,system_type,total_mass,distance_mpc,snr_network,epsilon_max,klein_activated,snr_enhanced,klein_enhancement
SIM_004447,non_detection,BBH,91.38850629950281,2397.181455818087,0.9927627564894486,0.16077087542531893,False,0.9927627564894486,1.0
SIM_004448,non_detection,BBH,24.285352594972075,2492.7688433947624,0.244226105647267,0.05075213501175545,False,0.244226105647267,1.0
SIM_004449,non_detection,BBH,33.17552195664594,2144.764274309045,0.5032430449283146,0.07612135484193902,False,0.5032430449283146,1.0
SIM_004450,non_detection,BBH,156.2590271023774,2065.954798227421,0.53794530164326,0.2836994063472299,False,0.53794530164326,1.0
SIM_004451,non_detection,BBH,45.443238648456116,2668.6602884397626,0.4635264587174564,0.09674025005886995,False,0.4635264587174564,1.0
SIM_004452,non_detection,BBH,58.499342713429165,1150.8363284496452,0.7610533453985483,0.11986459834680208,False,0.7610533453985483,1.0
SIM_004453,non_detection,BBH,77.37491011908637,2232.349453396411,0.45684441999059755,0.15373702458482108,False,0.45684441999059755,1.0
SIM_004454,non_detection,BBH,57.45816160295411,2331.0310147096957,0.5169551606366148,0.1204624050603321,False,0.5169551606366148,1.0
SIM_004455,non_detection,BBH,45.152104877899845,2210.5198317574523,0.3165274222958227,0.09501764103922838,False,0.3165274222958227,1.0
SIM_004457,non_detection,BBH,14.017956475371998,2374.762424045463,0.18228738141589612,0.032419414540343985,False,0.18228738141589612,1.0
SIM_004458,non_detection,BBH,59.56300786797247,2138.773536748988,0.6029009882718567,0.12374687145334223,False,0.6029009882718567,1.0
SIM_004459,non_detection,BBH,24.991565716537174,2931.9358706082126,0.14694583604266093,0.057002810508285984,False,0.14694583604266093,1.0
SIM_004460,non_detection,BBH,165.00798052680182,2989.720732473809,0.670836372059659,0.3035487845538616,False,0.670836372059659,1.0
SIM_004461,non_detection,BBH,51.36781502702375,1251.5746266997048,0.51759268143304,0.09049236768747256,False,0.51759268143304,1.0
SIM_004462,non_detection,BBH,67.6075043173121,2996.2767162127357,0.18240998894620047,0.145006224897059,False,0.18240998894620047,1.0
SIM_004463,non_detection,BBH,32.1178737415449,2456.6411725819444,0.20402497798913727,0.07423579009361653,False,0.20402497798913727,1.0
SIM_004464,non_detection,BBH,11.449167948801449,2929.3083757069317,0.07588525550559584,0.025792892602380824,False,0.07588525550559584,1.0
SIM_004465,non_detection,BBH,74.60709182243055,2947.098831300116,0.793760652274367,0.12697494098049594,False,0.793760652274367,1.0
SIM_004466,non_detection,BBH,26.004178680845637,1592.7823344666006,0.17673391421221948,0.05693886131273953,False,0.17673391421221948,1.0
SIM_004467,non_detection,BBH,12.945887950031103,2967.8393540119105,0.1990378963076607,0.022229960080390687,False,0.1990378963076607,1.0
SIM_004468,non_detection,BNS,2.475533562709323,1914.8871399185366,0.06511314966536232,0.005283188309212274,False,0.06511314966536232,1.0
SIM_004469,non_detection,BBH,8.697901205897843,619.8492348843896,0.8138828558001514,0.019574219167292805,False,0.8138828558001514,1.0
SIM_004470,non_detection,BBH,60.341543196995296,2552.2199990834724,0.8358822942482927,0.13483826595950615,False,0.8358822942482927,1.0
SIM_004471,non_detection,BBH,92.30812838246489,1845.3046826648385,1.293100453258213,0.15752528012501324,False,1.293100453258213,1.0
SIM_004472,non_detection,BBH,61.49083570806797,2149.126113402642,0.28113262474561884,0.13654426092153732,False,0.28113262474561884,1.0
SIM_004473,non_detection,BBH,111.58554670408549,2069.0251842897924,0.8312479931329348,0.23051320382851548,False,0.8312479931329348,1.0
SIM_004474,non_detection,BBH,124.47308232547286,2405.6563497656343,0.8962048251249879,0.25198219441997927,False,0.8962048251249879,1.0
SIM_004475,non_detection,BBH,93.2560487181089,2069.519491022618,1.1148690359954065,0.19326087427241606,False,1.1148690359954065,1.0
SIM_004476,non_detection,BBH,65.05313387911065,1882.054107382397,0.5637258106899834,0.14163197370896372,False,0.5637258106899834,1.0
SIM_004477,non_detection,BBH,12.374711499161641,2445.195301776261,0.12311201606086146,0.028211150759666653,False,0.12311201606086146,1.0
SIM_004478,non_detection,BBH,30.073007719111565,2732.1631284005225,0.16734017050986136,0.05854274303198335,False,0.16734017050986136,1.0
SIM_004479,non_detection,BBH,38.88404089677165,2122.0775902325067,0.4235993425441309,0.07233809399094511,False,0.4235993425441309,1.0
SIM_004480,non_detection,BBH,102.61646620932794,2839.405597983853,0.45329421344960363,0.20913760303821938,False,0.45329421344960363,1.0
SIM_004481,non_detection,BBH,18.491461440982754,2554.226844819393,0.18025472214951982,0.03344944118123555,False,0.18025472214951982,1.0
SIM_004482,non_detection,BBH,89.33433852503026,2295.95393544838,0.5122510356753472,0.18696701505143876,False,0.5122510356753472,1.0
SIM_004483,non_detection,BBH,13.487636159184536,1162.8308454413589,0.25704628108199157,0.03143285682236199,False,0.25704628108199157,1.0
SIM_004484,non_detection,BBH,58.87383438447772,2958.4574553639723,0.4576056752617429,0.1286040429481501,False,0.4576056752617429,1.0
SIM_004485,non_detection,BNS,2.8700677783353505,1600.8356952179456,0.06117737294534467,0.006390813064650014,False,0.06117737294534467,1.0
SIM_004486,non_detection,BBH,53.476270673847594,2699.255325137302,0.6864125109182724,0.11904650151488934,False,0.6864125109182724,1.0
SIM_004487,non_detection,BBH,16.061299400252324,2188.2516357138466,0.0875893710089175,0.03754033113718578,False,0.0875893710089175,1.0
