ell,c_ell_tt_standard,c_ell_tt_klein,c_ell_eb_klein,klein_enhancement,parity_violation,klein_multipole,klein_window
166,7787.855875348087,7787.855875348087,0.0,0.0,0.0,1.4810502488509167e+23,0.0
167,7742.186747771506,7742.186747771506,0.0,0.0,0.0,1.4810502488509167e+23,0.0
168,7697.045034870908,7697.045034870908,0.0,0.0,0.0,1.4810502488509167e+23,0.0
169,7652.4214985618,7652.4214985618,0.0,0.0,0.0,1.4810502488509167e+23,0.0
170,7608.3071159971005,7608.3071159971005,0.0,0.0,0.0,1.4810502488509167e+23,0.0
171,7564.693073323168,7564.693073323168,0.0,0.0,0.0,1.4810502488509167e+23,0.0
172,7521.570759652224,7521.570759652224,0.0,0.0,0.0,1.4810502488509167e+23,0.0
173,7478.931761242459,7478.931761242459,0.0,0.0,0.0,1.4810502488509167e+23,0.0
174,7436.76785587749,7436.76785587749,0.0,0.0,0.0,1.4810502488509167e+23,0.0
175,7395.071007437283,7395.071007437283,0.0,0.0,0.0,1.4810502488509167e+23,0.0
176,7353.83336065294,7353.83336065294,0.0,0.0,0.0,1.4810502488509167e+23,0.0
177,7313.047236038131,7313.047236038131,0.0,0.0,0.0,1.4810502488509167e+23,0.0
178,7272.705124990235,7272.705124990235,0.0,0.0,0.0,1.4810502488509167e+23,0.0
179,7232.7996850546415,7232.7996850546415,0.0,0.0,0.0,1.4810502488509167e+23,0.0
180,7193.323735345861,7193.323735345861,0.0,0.0,0.0,1.4810502488509167e+23,0.0
181,7154.2702521194315,7154.2702521194315,0.0,0.0,0.0,1.4810502488509167e+23,0.0
182,7115.632364488846,7115.632364488846,0.0,0.0,0.0,1.4810502488509167e+23,0.0
183,7077.403350281995,7077.403350281995,0.0,0.0,0.0,1.4810502488509167e+23,0.0
184,7039.576632031828,7039.576632031828,0.0,0.0,0.0,1.4810502488509167e+23,0.0
185,7002.145773096219,7002.145773096219,0.0,0.0,0.0,1.4810502488509167e+23,0.0
186,6965.104473902151,6965.104473902151,0.0,0.0,0.0,1.4810502488509167e+23,0.0
187,6928.446568309633,6928.446568309633,0.0,0.0,0.0,1.4810502488509167e+23,0.0
188,6892.166020090899,6892.166020090899,0.0,0.0,0.0,1.4810502488509167e+23,0.0
189,6856.256919520649,6856.256919520649,0.0,0.0,0.0,1.4810502488509167e+23,0.0
190,6820.713480073256,6820.713480073256,0.0,0.0,0.0,1.4810502488509167e+23,0.0
191,6785.530035223045,6785.530035223045,0.0,0.0,0.0,1.4810502488509167e+23,0.0
192,6750.701035343915,6750.701035343915,0.0,0.0,0.0,1.4810502488509167e+23,0.0
193,6716.221044704706,6716.221044704706,0.0,0.0,0.0,1.4810502488509167e+23,0.0
194,6682.084738556894,6682.084738556894,0.0,0.0,0.0,1.4810502488509167e+23,0.0
195,6648.28690031129,6648.28690031129,0.0,0.0,0.0,1.4810502488509167e+23,0.0
196,6614.822418800622,6614.822418800622,0.0,0.0,0.0,1.4810502488509167e+23,0.0
197,6581.686285624924,6581.686285624924,0.0,0.0,0.0,1.4810502488509167e+23,0.0
198,6548.873592576856,6548.873592576856,0.0,0.0,0.0,1.4810502488509167e+23,0.0
199,6516.379529144131,6516.379529144131,0.0,0.0,0.0,1.4810502488509167e+23,0.0
200,6484.199380086389,6484.199380086389,0.0,0.0,0.0,1.4810502488509167e+23,0.0
201,6452.328523083915,6452.328523083915,0.0,0.0,0.0,1.4810502488509167e+23,0.0
202,6420.7624264557535,6420.7624264557535,0.0,0.0,0.0,1.4810502488509167e+23,0.0
203,6389.496646944818,6389.496646944818,0.0,0.0,0.0,1.4810502488509167e+23,0.0
204,6358.5268275677145,6358.5268275677145,0.0,0.0,0.0,1.4810502488509167e+23,0.0
205,6327.84869552709,6327.84869552709,0.0,0.0,0.0,1.4810502488509167e+23,0.0
206,6297.458060184385,6297.458060184385,0.0,0.0,0.0,1.4810502488509167e+23,0.0
207,6267.350811090966,6267.350811090966,0.0,0.0,0.0,1.4810502488509167e+23,0.0
208,6237.522916075665,6237.522916075665,0.0,0.0,0.0,1.4810502488509167e+23,0.0
209,6207.970419386879,6207.970419386879,0.0,0.0,0.0,1.4810502488509167e+23,0.0
210,6178.689439887394,6178.689439887394,0.0,0.0,0.0,1.4810502488509167e+23,0.0
211,6149.676169300212,6149.676169300212,0.0,0.0,0.0,1.4810502488509167e+23,0.0
212,6120.926870503687,6120.926870503687,0.0,0.0,0.0,1.4810502488509167e+23,0.0
213,6092.437875874381,6092.437875874381,0.0,0.0,0.0,1.4810502488509167e+23,0.0
214,6064.205585676071,6064.205585676071,0.0,0.0,0.0,1.4810502488509167e+23,0.0
215,6036.226466493426,6036.226466493426,0.0,0.0,0.0,1.4810502488509167e+23,0.0
216,6008.497049708895,6008.497049708895,0.0,0.0,0.0,1.4810502488509167e+23,0.0
217,5981.0139300214405,5981.0139300214405,0.0,0.0,0.0,1.4810502488509167e+23,0.0
218,5953.773764005776,5953.773764005776,0.0,0.0,0.0,1.4810502488509167e+23,0.0
219,5926.773268710813,5926.773268710813,0.0,0.0,0.0,1.4810502488509167e+23,0.0
220,5900.009220296076,5900.009220296076,0.0,0.0,0.0,1.4810502488509167e+23,0.0
221,5873.478452704907,5873.478452704907,0.0,0.0,0.0,1.4810502488509167e+23,0.0
222,5847.177856373285,5847.177856373285,0.0,0.0,0.0,1.4810502488509167e+23,0.0
223,5821.104376973155,5821.104376973155,0.0,0.0,0.0,1.4810502488509167e+23,0.0
224,5795.2550141892125,5795.2550141892125,0.0,0.0,0.0,1.4810502488509167e+23,0.0
225,5769.626820528071,5769.626820528071,0.0,0.0,0.0,1.4810502488509167e+23,0.0
226,5744.216900158856,5744.216900158856,0.0,0.0,0.0,1.4810502488509167e+23,0.0
227,5719.022407784231,5719.022407784231,0.0,0.0,0.0,1.4810502488509167e+23,0.0
228,5694.040547540941,5694.040547540941,0.0,0.0,0.0,1.4810502488509167e+23,0.0
229,5669.268571928976,5669.268571928976,0.0,0.0,0.0,1.4810502488509167e+23,0.0
230,5644.70378076849,5644.70378076849,0.0,0.0,0.0,1.4810502488509167e+23,0.0
231,5620.3435201836155,5620.3435201836155,0.0,0.0,0.0,1.4810502488509167e+23,0.0
232,5596.185181612419,5596.185181612419,0.0,0.0,0.0,1.4810502488509167e+23,0.0
233,5572.226200842143,5572.226200842143,0.0,0.0,0.0,1.4810502488509167e+23,0.0
234,5548.464057069064,5548.464057069064,0.0,0.0,0.0,1.4810502488509167e+23,0.0
235,5524.896271982169,5524.896271982169,0.0,0.0,0.0,1.4810502488509167e+23,0.0
236,5501.520408869977,5501.520408869977,0.0,0.0,0.0,1.4810502488509167e+23,0.0
237,5478.334071749842,5478.334071749842,0.0,0.0,0.0,1.4810502488509167e+23,0.0
238,5455.3349045190425,5455.3349045190425,0.0,0.0,0.0,1.4810502488509167e+23,0.0
239,5432.520590127053,5432.520590127053,0.0,0.0,0.0,1.4810502488509167e+23,0.0
240,5409.888849768371,5409.888849768371,0.0,0.0,0.0,1.4810502488509167e+23,0.0
241,5387.437442095303,5387.437442095303,0.0,0.0,0.0,1.4810502488509167e+23,0.0
242,5365.164162450152,5365.164162450152,0.0,0.0,0.0,1.4810502488509167e+23,0.0
243,5343.066842116218,5343.066842116218,0.0,0.0,0.0,1.4810502488509167e+23,0.0
244,5321.143347587119,5321.143347587119,0.0,0.0,0.0,1.4810502488509167e+23,0.0
245,5299.391579853872,5299.391579853872,0.0,0.0,0.0,1.4810502488509167e+23,0.0
246,5277.8094737092515,5277.8094737092515,0.0,0.0,0.0,1.4810502488509167e+23,0.0
247,5256.3949970689455,5256.3949970689455,0.0,0.0,0.0,1.4810502488509167e+23,0.0
248,5235.146150309009,5235.146150309009,0.0,0.0,0.0,1.4810502488509167e+23,0.0
249,5214.06096561919,5214.06096561919,0.0,0.0,0.0,1.4810502488509167e+23,0.0
250,5193.137506371675,5193.137506371675,0.0,0.0,0.0,1.4810502488509167e+23,0.0
251,5172.3738665048195,5172.3738665048195,0.0,0.0,0.0,1.4810502488509167e+23,0.0
252,5151.768169921447,5151.768169921447,0.0,0.0,0.0,1.4810502488509167e+23,0.0
253,5131.318569901353,5131.318569901353,0.0,0.0,0.0,1.4810502488509167e+23,0.0
254,5111.023248527551,5111.023248527551,0.0,0.0,0.0,1.4810502488509167e+23,0.0
255,5090.880416125978,5090.880416125978,0.0,0.0,0.0,1.4810502488509167e+23,0.0
256,5070.888310718208,5070.888310718208,0.0,0.0,0.0,1.4810502488509167e+23,0.0
257,5051.045197486875,5051.045197486875,0.0,0.0,0.0,1.4810502488509167e+23,0.0
258,5031.34936825345,5031.34936825345,0.0,0.0,0.0,1.4810502488509167e+23,0.0
259,5011.799140968023,5011.799140968023,0.0,0.0,0.0,1.4810502488509167e+23,0.0
