event_name,catalog,version,GPS,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,redshift,redshift_lower,redshift_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,chi_eff,chi_eff_lower,chi_eff_upper,far,p_astro,final_spin,final_spin_lower,final_spin_upper,observing_run,energy_radiated
GW230615_160825,GWTC-4.0,1,1370880524.0,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,4.3,0.5,,,,O4a,
GW230618_102550,GWTC-4.0,1,1371119168.0,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,49.00000000000001,0.59,,,,O4a,
GW230624_113103,GWTC-4.0,1,1371641481.7,27.2,-6.9,13.4,16.1,-4.5,4.8,43.8,-6.6,11.1,41.8,-6.3,10.7,18.0,-2.4,3.2,1940.0,-970.0,1270.0,0.35,-0.16,0.19,11.4,,,0.17,-0.25,0.29,0.00017999999999999998,0.99,,,,O4a,2.0
GW230624_214944,GWTC-4.0,1,1371678602.5,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,2.2,0.69,,,,O4a,
GW230625_211655,GWTC-4.0,1,1371763033.0,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,42.0,0.61,,,,O4a,
GW230627_015337,GWTC-4.0,1,1371866035.8,8.4,-1.3,1.7,5.79,-0.92,0.95,14.19,-0.45,0.77,13.54,-0.45,0.82,6.02,-0.07,0.16,305.0,-134.0,65.0,0.07,-0.03,0.01,28.7,,,0.02,-0.03,0.08,1e-05,0.99,,,,O4a,0.6500000000000004
GW230628_231200,GWTC-4.0,1,1372029138.4,32.5,-3.9,5.9,27.1,-5.2,4.9,59.3,-4.9,8.6,56.5,-4.6,8.1,25.5,-2.2,3.8,2250.0,-1070.0,800.0,0.4,-0.17,0.12,16.4,,,-0.01,-0.16,0.16,1e-05,0.99,,,,O4a,2.799999999999997
GW230630_070659,GWTC-4.0,1,1372144037.0,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,0.47000000000000003,0.88,,,,O4a,
GW230630_125806,GWTC-4.0,1,1372165104.9,51.0,-14.0,20.0,33.0,-13.0,15.0,84.0,-19.0,26.0,80.0,-18.0,25.0,35.0,-8.5,11.4,5400.0,-3000.0,5100.0,0.83,-0.41,0.59,9.0,,,0.17,-0.31,0.3,0.16,0.99,,,,O4a,4.0
GW230630_234532,GWTC-4.0,1,1372203950.4,10.0,-1.8,3.5,6.6,-1.6,1.5,16.8,-1.4,2.1,16.1,-1.4,2.1,7.06,-0.48,0.57,1080.0,-480.0,520.0,0.21,-0.09,0.09,9.9,,,-0.04,-0.08,0.16,0.00042,0.99,,,,O4a,0.6999999999999993
GW230702_162025,GWTC-4.0,1,1372350043.9,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,6.5,0.6,,,,O4a,
GW230702_185453,GWTC-4.0,1,1372359311.7,40.0,-13.0,20.0,18.0,-6.5,8.5,60.0,-11.0,15.0,57.0,-11.0,15.0,22.9,-3.5,4.0,2400.0,-1100.0,1900.0,0.43,-0.17,0.27,10.1,,,0.05,-0.26,0.29,1e-05,0.99,,,,O4a,3.0
