name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G021.10+33.24,248.1988722,5.5921886,1.703017,16.31857,7.788315,0.300539,33378.49285714285,16.53529028175442,5.102790580949414e+23,5.97772071e+43,3.340683482808475e-55,3.7535769469758146e-05,1.12607308356389e-05,3.7535769452129666e-11
PSZ2 G021.36-43.02,319.8962353,-26.2017251,2.311092,5.54686,5.8108,0.615291,24903.428571428576,16.741813281045918,5.1665235785307704e+23,1.2238137989999999e+44,6.589357096246696e-55,7.403772018254714e-05,2.2211316014179744e-05,7.403772004726581e-11
PSZ2 G022.03+17.75,262.1523015,-1.2175534,2.428897,6.20045,,,1000.0,0.7065374973635451,2.1803747168639e+22,1.0447508339380231e+45,7.484146146055136e-50,8.409152973095658,0.2999999702111483,9.999999007038279e-07
PSZ2 G022.12-38.81,315.5511138,-24.5728726,2.428711,5.06137,3.731324,0.483119,15991.388571428572,11.297650443239274,3.48645492678364e+23,9.60923691e+43,1.6836804965983314e-54,0.00018917758388745296,5.675327448920416e-05,1.8917758163068055e-10
PSZ2 G022.98+19.49,261.0687148,0.4154682,2.428814,5.19207,6.790033,0.80673,29100.14142857143,20.559638512163076,6.344704444853526e+23,1.6045859699999998e+44,4.665001065859422e-55,5.241574231302721e-05,1.572472267950741e-05,5.24157422650247e-11
PSZ2 G023.05+20.52,260.1954405,0.9684972,2.428612,5.57412,,,1000.0,0.7064545942240754,2.180118877775497e+22,8.905173451072587e+44,6.381529800423221e-50,7.17025820272272,0.2999996450690668,9.999988168968892e-07
PSZ2 G023.17+86.71,196.4731079,26.5261837,3.393601,5.34141,5.03305,0.559982,21570.214285714286,21.293220720123138,6.57108791423e+23,1.1138041979999999e+44,2.9148751839454837e-55,3.275140656118521e-05,9.825421964842467e-06,3.275140654947489e-11
PSZ2 G023.40-15.26,292.4921503,-15.1935254,5.390227,5.0056,2.369741,0.299939,10156.032857142856,15.92418702409516,4.914204115635766e+23,5.965786709999999e+43,3.7327688192074436e-55,4.1941222687724086e-05,1.2582366798939486e-05,4.194122266313162e-11
PSZ2 G023.87-13.88,291.3960142,-14.2055305,6.048296,4.90816,,,1000.0,1.7593779889200492,5.429440473807272e+22,7.357935551653877e+44,3.4136083849856336e-51,0.38355150393097004,0.10973632994623919,3.6578776648746396e-07
PSZ2 G024.44+22.76,258.8351714,3.1718234,2.939107,5.9979,4.505844,0.400846,19310.76,16.50976458581934,5.0949133511838486e+23,7.97282694e+43,4.4763586509846725e-55,5.029616461780531e-05,1.5088849372618151e-05,5.029616457539384e-11
PSZ2 G024.46-18.08,295.5950788,-15.435756,3.241556,6.97577,,,1000.0,0.9429304181296218,2.909883270348013e+22,1.2467120044329956e+45,3.757183302358091e-50,4.221554272312462,0.29987080007211625,9.995693335737208e-07
PSZ2 G025.02-41.49,319.0394079,-23.1940252,2.428835,6.42499,,,1000.0,0.7065194622946078,2.1803190606411598e+22,1.1020126910123611e+45,7.894950054070845e-50,8.87073039783241,0.29999998816596857,9.999999605532286e-07
PSZ2 G025.07-78.64,0.0902461,-28.1002628,2.529382,6.2172,,,1000.0,0.7357673990113202,2.270578193348934e+22,1.0489871529710072e+45,6.6540142556151385e-50,7.476420511927121,0.29999980759570355,9.999993586523451e-07
PSZ2 G025.13-75.88,356.9603376,-28.1425857,3.43541,8.07377,1.480293,0.114748,6344.112857142857,6.339800515784001,1.9564624391709426e+23,2.28233772e+43,2.263019568808275e-54,0.0002542718616638511,7.62815568551815e-05,2.542718561839383e-10
PSZ2 G025.89-46.67,324.677505,-23.9849329,5.426822,4.93352,,,1000.0,1.5785985303277283,4.87155506459137e+22,7.415035790140316e+44,4.7624820220589374e-51,0.5351103395571839,0.14678332837659408,4.892777612553137e-07
PSZ2 G026.09-25.62,303.4277679,-17.0251996,2.428387,4.64855,,,1000.0,0.7063891443771255,2.1799168995478095e+22,6.781943569119529e+44,4.861354618416365e-50,5.462196200467826,0.29998919213056713,9.99963973768557e-07
PSZ2 G026.34-58.64,337.6571827,-26.2663523,3.738269,4.54593,,,1000.0,1.0874183729205982,3.355773098832966e+22,6.558613337959714e+44,1.2887159641146937e-50,1.4479954652974085,0.268588738867615,8.952957962253832e-07
PSZ2 G026.73-38.94,316.8428413,-21.1840067,2.046352,8.42102,5.409047,0.363768,23181.63,13.799089367751353,4.258398978888068e+23,7.23534552e+43,6.957339137180102e-55,7.81723498559562e-05,2.345170490901639e-05,7.817234969672131e-11
PSZ2 G027.23+15.73,266.2912277,2.2181935,4.907223,4.89738,,,1000.0,1.4274533079932283,4.405120908467103e+22,7.333708047878666e+44,6.37049329369614e-51,0.7157857633366449,0.18428763583994093,6.142921194664697e-07
PSZ2 G027.28+23.79,259.1370903,5.9641825,6.024254,4.70543,,,1000.0,1.7523844546073077,5.407858426918152e+22,6.90680011329747e+44,3.242827832923937e-51,0.36436267785662213,0.10471529902049326,3.490509967349775e-07
PSZ2 G027.39+15.39,266.6611649,2.1910506,1.817728,5.22816,,,1000.0,0.5287556417615248,1.6317399104760656e+22,8.089118860841548e+44,1.382519782103408e-49,15.533930135993348,0.29999999999998067,9.999999999999356e-07
