name,ra,dec,theta_arcmin,snr,redshift,mass_m500_1e14,mass_error_low,mass_error_high,distance_mpc,radius_mpc,radius_m,mass_kg,curvature_4d,curvature_ratio,phi5_amplitude,grav_modification
PSZ2 G304.84+69.84,193.5236126,6.9787554,2.364817,4.72224,,,,,1000.0,0.6878973809522457,2.1228513176186304e+22,6.943844636996095e+44,5.389695225249351e-50,5.389695225249352e-44,1.6169085675748054e-44,5.389695225249351e-50
PSZ2 G304.91+45.43,194.3178771,-17.410817,2.877769,16.11598,,,,,1000.0,0.8371090693637449,2.583318588056517e+22,4.377871314335609e+45,1.8856106834354834e-49,1.8856106834354833e-43,5.65683205030645e-44,1.8856106834354834e-49
PSZ2 G304.95-18.60,205.5794155,-81.2788479,2.052813,4.64659,,,,,1000.0,0.5971390962957059,1.8427712511685486e+22,6.777654745249669e+44,8.042445055148325e-50,8.042445055148325e-44,2.4127335165444976e-44,8.042445055148326e-50
PSZ2 G305.55-42.77,5.7537022,-74.1986157,5.329305,5.38786,,,,,1000.0,1.5502319848832733,4.7840159053497814e+22,8.46257177956919e+44,5.739148550713824e-51,5.739148550713825e-45,1.7217445652141474e-45,5.739148550713824e-51
PSZ2 G305.59-54.80,9.5725038,-62.226296,5.296903,4.67335,,,,,1000.0,1.5408066251460868,4.754929245200824e+22,6.8362883629802204e+44,4.721838643742015e-51,4.721838643742015e-45,1.4165515931226045e-45,4.721838643742015e-51
PSZ2 G305.88-44.56,5.8865502,-72.4040927,2.41271,8.63036,,,,,1000.0,0.7018288899298731,2.1658439543235885e+22,1.7156207083930574e+45,1.2538995182173998e-49,1.2538995182173999e-43,3.7616985546521996e-44,1.2538995182173998e-49
PSZ2 G305.96-25.45,251.9882065,-86.8406276,3.472635,5.83632,,,,,1000.0,1.010148574499888,3.1173185009066543e+22,9.540838744583105e+44,2.338653980728767e-50,2.3386539807287675e-44,7.015961942186303e-45,2.338653980728767e-50
PSZ2 G305.96-37.15,359.2606183,-79.6468858,3.418348,5.8703,,,,,1000.0,0.994357126316052,3.0685860918113367e+22,9.624282368266493e+44,2.473297535586539e-50,2.473297535586539e-44,7.419892606759617e-45,2.473297535586539e-50
PSZ2 G306.02+34.47,195.7640657,-28.3579983,3.613539,5.40361,,,,,1000.0,1.0511358866537228,3.243805346213389e+22,8.499706058611747e+44,1.8491089324342973e-50,1.8491089324342974e-44,5.547326797302892e-45,1.8491089324342973e-50
PSZ2 G306.23+11.92,197.973139,-50.8188756,3.703441,5.02782,,,,,1000.0,1.0772873183891887,3.324508664549036e+22,7.628646550533927e+44,1.5416579664369638e-50,1.5416579664369639e-44,4.6249738993108914e-45,1.5416579664369638e-50
PSZ2 G306.50+38.50,195.9278046,-24.2806544,3.609124,7.61472,,,,,1000.0,1.0498516152124637,3.239842084545663e+22,1.421866492262796e+45,3.1046327729079286e-50,3.1046327729079287e-44,9.313898318723786e-45,3.1046327729079286e-50
PSZ2 G306.66+61.06,194.6881845,-1.7411257,2.321997,11.16189,,,,,1000.0,0.6754415478571796,2.0844126166872563e+22,2.5233908227584806e+45,2.068980439791438e-49,2.0689804397914382e-43,6.206941319374315e-44,2.068980439791438e-49
PSZ2 G306.77+58.61,194.8641048,-4.1914618,2.318373,14.47936,,,,,1000.0,0.6743873689889748,2.0811594206999763e+22,3.728223684007858e+45,3.0712053706569807e-49,3.071205370656981e-43,9.213616111970943e-44,3.0712053706569807e-49
PSZ2 G307.23+16.35,198.8398574,-46.3161949,2.390264,5.32683,,,,,1000.0,0.6952996131981624,2.145694606329529e+22,8.319192378730898e+44,6.253172137276837e-50,6.253172137276837e-44,1.875951641183051e-44,6.253172137276837e-50
PSZ2 G307.56-10.74,208.6607112,-73.0439769,2.412934,9.97799,,,,,1000.0,0.7018940488886142,2.1660450348702634e+22,2.1327625608966486e+45,1.5583428328927703e-49,1.5583428328927703e-43,4.675028498678311e-44,1.5583428328927703e-49
PSZ2 G307.72-77.87,11.6003923,-39.2050045,2.426159,4.85323,,,,,1000.0,0.7057410454482185,2.177916866253202e+22,7.234761555533212e+44,5.200238627144684e-50,5.200238627144685e-44,1.5600715881434054e-44,5.200238627144684e-50
PSZ2 G308.04-15.48,216.0945865,-77.4267491,3.450072,4.6593,,,,,1000.0,1.0035852638477636,3.0970641242341987e+22,6.805482530758316e+44,1.701105608592135e-50,1.701105608592135e-44,5.103316825776405e-45,1.701105608592135e-50
PSZ2 G308.33-20.21,229.6124062,-81.5030224,0.961589,10.69527,,,,,1000.0,0.27971490168266255,8.632001865926966e+21,2.366821692142487e+45,2.7324606071398292e-48,2.7324606071398293e-42,8.197381821419488e-43,2.7324606071398295e-48
